,Row,Anon Student Id,Problem Hierarchy,Problem Name,Problem View,Step Name,Step Start Time,First Transaction Time,Correct Transaction Time,Step End Time,Step Duration (sec),Correct Step Duration (sec),Error Step Duration (sec),Correct First Attempt,Incorrects,Hints,Corrects,KC(Default),Opportunity(Default)
952825,1269111,2304YbHCok_a,"Unit INEQUALITY-SYSTEMS-SOLVING, Section INEQUALITY-SYSTEMS-SOLVING-1",G3X-5YGT-29&2X-10YLE-42,1,Intersection 1 X,36:10.0,36:17.0,36:20.0,36:20.0,10,,10,0,1,0,1,"Finding the intersection, GLF",2
953037,1269323,2304YbHCok_a,"Unit INEQUALITY-SYSTEMS-SOLVING, Section INEQUALITY-SYSTEMS-SOLVING-1",G2X+5YGE19&-3X+2YLT0,1,Intersection 1 X,49:06.0,49:10.0,49:10.0,49:10.0,4,4,,1,0,0,1,"Finding the intersection, GLF",3
953121,1269407,2304YbHCok_a,"Unit INEQUALITY-SYSTEMS-SOLVING, Section INEQUALITY-SYSTEMS-SOLVING-1",G3X-YLT5&2X+YLT15,1,Intersection 1 X,57:38.0,57:43.0,57:43.0,57:43.0,2.5,2.5,,1,0,0,1,"Finding the intersection, GLF",4
953150,1269436,2304YbHCok_a,"Unit INEQUALITY-SYSTEMS-SOLVING, Section INEQUALITY-SYSTEMS-SOLVING-1",GXGT100&YGT50,1,Intersection 1 X,00:10.0,00:20.0,,00:20.0,10,,10,0,0,1,0,"Finding the intersection, GLF",5
956541,1274327,2305Ra0wn7_a,"Unit INEQUALITY-SYSTEMS-SOLVING, Section INEQUALITY-SYSTEMS-SOLVING-1",G2X+3YLE12&2X-YGT4,1,Intersection 1 X,20:40.0,20:58.0,21:10.0,21:10.0,27,,27,0,1,0,1,"Finding the intersection, GLF",1
956560,1274346,2305Ra0wn7_a,"Unit INEQUALITY-SYSTEMS-SOLVING, Section INEQUALITY-SYSTEMS-SOLVING-1",G3X-5YGT-29&2X-10YLE-42,1,Intersection 1 X,32:39.0,32:50.0,32:50.0,32:50.0,11,11,,1,0,0,1,"Finding the intersection, GLF",2
956716,1274502,2305Ra0wn7_a,"Unit INEQUALITY-SYSTEMS-SOLVING, Section INEQUALITY-SYSTEMS-SOLVING-1",G2X+5YGE19&-3X+2YLT0,4,Intersection 1 X,26:05.0,27:03.0,,27:03.0,58,,58,0,1,0,0,"Finding the intersection, GLF",3
956721,1274507,2305Ra0wn7_a,"Unit INEQUALITY-SYSTEMS-SOLVING, Section INEQUALITY-SYSTEMS-SOLVING-1",G2X+5YGE19&-3X+2YLT0,3,Intersection 1 X,47:11.0,47:28.0,47:28.0,47:28.0,17,17,,1,0,0,1,"Finding the intersection, GLF",4
956807,1274593,2305Ra0wn7_a,"Unit INEQUALITY-SYSTEMS-SOLVING, Section INEQUALITY-SYSTEMS-SOLVING-1",GXGE0&YGE0,1,Intersection 1 X,34:54.0,34:59.0,,34:59.0,5,,5,0,0,1,0,"Finding the intersection, GLF",5
956813,1274599,2305Ra0wn7_a,"Unit INEQUALITY-SYSTEMS-SOLVING, Section INEQUALITY-SYSTEMS-SOLVING-1",GXGE0&YGE0,2,Intersection 1 X,13:55.0,13:56.0,,13:56.0,1,,1,0,0,1,0,"Finding the intersection, GLF",6
956870,1274656,2305Ra0wn7_a,"Unit INEQUALITY-SYSTEMS-SOLVING, Section INEQUALITY-SYSTEMS-SOLVING-1",GXGE100&YLE375,1,Intersection 1 X,34:33.0,34:53.0,,34:53.0,20,,20,0,0,1,0,"Finding the intersection, GLF",7
956890,1274676,2305Ra0wn7_a,"Unit INEQUALITY-SYSTEMS-SOLVING, Section INEQUALITY-SYSTEMS-SOLVING-1",GX+4YLT42&-5X+6YGE50,2,Intersection 1 X,03:02.0,03:27.0,03:41.0,03:41.0,32,,32,0,1,0,1,"Finding the intersection, GLF",8
956911,1274697,2305Ra0wn7_a,"Unit INEQUALITY-SYSTEMS-SOLVING, Section INEQUALITY-SYSTEMS-SOLVING-1",G3X-YLT5&2X+YLT15,1,Intersection 1 X,10:00.0,10:09.0,10:09.0,10:09.0,9,9,,1,0,0,1,"Finding the intersection, GLF",9
958175,1276810,2309tLkCW6_a,"Unit INEQUALITY-SYSTEMS-SOLVING, Section INEQUALITY-SYSTEMS-SOLVING-1",G2X+3YLE12&2X-YGT4,1,Intersection 1 X,16:23.0,16:31.0,16:31.0,16:31.0,8,8,,1,0,0,1,"Finding the intersection, GLF",1
958204,1276839,2309tLkCW6_a,"Unit INEQUALITY-SYSTEMS-SOLVING, Section INEQUALITY-SYSTEMS-SOLVING-1",G3X-5YGT-29&2X-10YLE-42,1,Intersection 1 X,22:58.0,23:02.0,23:02.0,23:02.0,4,4,,1,0,0,1,"Finding the intersection, GLF",2
958358,1276993,2309tLkCW6_a,"Unit INEQUALITY-SYSTEMS-SOLVING, Section INEQUALITY-SYSTEMS-SOLVING-1",G2X+5YGE19&-3X+2YLT0,1,Intersection 1 X,18:42.0,18:46.0,18:46.0,18:46.0,4,4,,1,0,0,1,"Finding the intersection, GLF",3
958403,1277038,2309tLkCW6_a,"Unit INEQUALITY-SYSTEMS-SOLVING, Section INEQUALITY-SYSTEMS-SOLVING-1",GXGE0&YGE0,1,Intersection 1 X,21:27.0,21:33.0,,21:33.0,6,,6,0,0,1,0,"Finding the intersection, GLF",4
961590,1281543,230amNTt8e_a,"Unit INEQUALITY-SYSTEMS-SOLVING, Section INEQUALITY-SYSTEMS-SOLVING-1",G2X+3YLE12&2X-YGT4,1,Intersection 1 X,07:15.0,07:19.0,07:19.0,07:19.0,4,4,,1,0,0,1,"Finding the intersection, GLF",1
961623,1281576,230amNTt8e_a,"Unit INEQUALITY-SYSTEMS-SOLVING, Section INEQUALITY-SYSTEMS-SOLVING-1",G3X-5YGT-29&2X-10YLE-42,2,Intersection 1 X,13:57.0,14:01.0,14:01.0,14:01.0,4,4,,1,0,0,1,"Finding the intersection, GLF",2
961755,1281708,230amNTt8e_a,"Unit INEQUALITY-SYSTEMS-SOLVING, Section INEQUALITY-SYSTEMS-SOLVING-1",G2X+5YGE19&-3X+2YLT0,2,Intersection 1 X,41:05.0,41:09.0,41:09.0,41:09.0,4,4,,1,0,0,1,"Finding the intersection, GLF",3
965232,1286218,230cbpmx2H_a,"Unit INEQUALITY-SYSTEMS-SOLVING, Section INEQUALITY-SYSTEMS-SOLVING-1",G2X+3YLE12&2X-YGT4,1,Intersection 1 X,35:13.0,35:19.0,35:23.0,35:23.0,10,,10,0,1,0,1,"Finding the intersection, GLF",1
965269,1286255,230cbpmx2H_a,"Unit INEQUALITY-SYSTEMS-SOLVING, Section INEQUALITY-SYSTEMS-SOLVING-1",G3X-5YGT-29&2X-10YLE-42,1,Intersection 1 X,27:00.0,28:49.0,37:39.0,37:39.0,129,,129,0,2,0,1,"Finding the intersection, GLF",2
965413,1286399,230cbpmx2H_a,"Unit INEQUALITY-SYSTEMS-SOLVING, Section INEQUALITY-SYSTEMS-SOLVING-1",G2X+5YGE19&-3X+2YLT0,2,Intersection 1 X,24:17.0,24:19.0,24:19.0,24:19.0,2,2,,1,0,0,1,"Finding the intersection, GLF",3
966372,1287874,230cQtHpL1_a,"Unit INEQUALITY-SYSTEMS-SOLVING, Section INEQUALITY-SYSTEMS-SOLVING-1",G2X+3YLE12&2X-YGT4,1,Intersection 1 X,53:48.0,53:56.0,53:56.0,53:56.0,8,8,,1,0,0,1,"Finding the intersection, GLF",1
966392,1287894,230cQtHpL1_a,"Unit INEQUALITY-SYSTEMS-SOLVING, Section INEQUALITY-SYSTEMS-SOLVING-1",G3X-5YGT-29&2X-10YLE-42,2,Intersection 1 X,11:20.0,11:25.0,11:25.0,11:25.0,5,5,,1,0,0,1,"Finding the intersection, GLF",2
966514,1288016,230cQtHpL1_a,"Unit INEQUALITY-SYSTEMS-SOLVING, Section INEQUALITY-SYSTEMS-SOLVING-1",G2X+5YGE19&-3X+2YLT0,2,Intersection 1 X,11:13.0,11:18.0,11:18.0,11:18.0,5,5,,1,0,0,1,"Finding the intersection, GLF",3
968150,1290017,230duwYN4p_a,"Unit INEQUALITY-SYSTEMS-SOLVING, Section INEQUALITY-SYSTEMS-SOLVING-1",G2X+3YLE12&2X-YGT4,1,Intersection 1 X,50:04.0,50:08.0,50:08.0,50:08.0,4,4,,1,0,0,1,"Finding the intersection, GLF",1
968185,1290052,230duwYN4p_a,"Unit INEQUALITY-SYSTEMS-SOLVING, Section INEQUALITY-SYSTEMS-SOLVING-1",G3X-5YGT-29&2X-10YLE-42,2,Intersection 1 X,10:47.0,11:00.0,11:46.0,11:46.0,59,,59,0,4,1,1,"Finding the intersection, GLF",2
968358,1290225,230duwYN4p_a,"Unit INEQUALITY-SYSTEMS-SOLVING, Section INEQUALITY-SYSTEMS-SOLVING-1",G2X+5YGE19&-3X+2YLT0,1,Intersection 1 X,25:35.0,25:42.0,25:47.0,25:47.0,11,,11,0,1,0,1,"Finding the intersection, GLF",3
968417,1290284,230duwYN4p_a,"Unit INEQUALITY-SYSTEMS-SOLVING, Section INEQUALITY-SYSTEMS-SOLVING-1",G-X+6YLE-13&-X-2YGE-5,1,Intersection 1 X,18:58.0,19:00.0,19:00.0,19:00.0,2,2,,1,0,0,1,"Finding the intersection, GLF",4
968439,1290306,230duwYN4p_a,"Unit INEQUALITY-SYSTEMS-SOLVING, Section INEQUALITY-SYSTEMS-SOLVING-1",GX+4YLT42&-5X+6YGE50,1,Intersection 1 X,22:42.0,22:59.0,23:00.0,23:00.0,18,,18,0,1,0,1,"Finding the intersection, GLF",5
970985,1293985,230EGiaN2S_a,"Unit INEQUALITY-SYSTEMS-SOLVING, Section INEQUALITY-SYSTEMS-SOLVING-1",G2X+3YLE12&2X-YGT4,1,Intersection 1 X,25:45.0,25:51.0,25:51.0,25:51.0,3,3,,1,0,0,1,"Finding the intersection, GLF",1
971011,1294011,230EGiaN2S_a,"Unit INEQUALITY-SYSTEMS-SOLVING, Section INEQUALITY-SYSTEMS-SOLVING-1",G3X-5YGT-29&2X-10YLE-42,1,Intersection 1 X,33:13.0,33:22.0,33:22.0,33:22.0,9,9,,1,0,0,1,"Finding the intersection, GLF",2
973550,1297185,230HLorplQ_a,"Unit INEQUALITY-SYSTEMS-SOLVING, Section INEQUALITY-SYSTEMS-SOLVING-1",G2X+3YLE12&2X-YGT4,2,Intersection 1 X,03:36.0,03:38.0,03:38.0,03:38.0,2,2,,1,0,0,1,"Finding the intersection, GLF",1
973576,1297211,230HLorplQ_a,"Unit INEQUALITY-SYSTEMS-SOLVING, Section INEQUALITY-SYSTEMS-SOLVING-1",G3X-5YGT-29&2X-10YLE-42,1,Intersection 1 X,06:57.0,10:50.0,18:07.0,18:07.0,388,,388,0,7,2,1,"Finding the intersection, GLF",2
973729,1297364,230HLorplQ_a,"Unit INEQUALITY-SYSTEMS-SOLVING, Section INEQUALITY-SYSTEMS-SOLVING-1",G2X+5YGE19&-3X+2YLT0,1,Intersection 1 X,13:47.0,13:52.0,13:57.0,13:57.0,10,,10,0,1,0,1,"Finding the intersection, GLF",3
973802,1297437,230HLorplQ_a,"Unit INEQUALITY-SYSTEMS-SOLVING, Section INEQUALITY-SYSTEMS-SOLVING-1",GXGT100&YGT50,2,Intersection 1 X,34:08.0,34:51.0,,34:51.0,43,,43,0,0,1,0,"Finding the intersection, GLF",4
973879,1297514,230HLorplQ_a,"Unit INEQUALITY-SYSTEMS-SOLVING, Section INEQUALITY-SYSTEMS-SOLVING-1",G-X+6YLE-13&-X-2YGE-5,1,Intersection 1 X,51:35.0,52:38.0,53:32.0,53:32.0,70,,70,0,2,0,1,"Finding the intersection, GLF",5
977754,1302278,230hzMTB8t_a,"Unit INEQUALITY-SYSTEMS-SOLVING, Section INEQUALITY-SYSTEMS-SOLVING-1",G2X+3YLE12&2X-YGT4,1,Intersection 1 X,01:46.0,01:52.0,01:52.0,01:52.0,6,6,,1,0,0,1,"Finding the intersection, GLF",1
977779,1302303,230hzMTB8t_a,"Unit INEQUALITY-SYSTEMS-SOLVING, Section INEQUALITY-SYSTEMS-SOLVING-1",G3X-5YGT-29&2X-10YLE-42,1,Intersection 1 X,06:28.0,07:00.0,07:00.0,07:00.0,32,32,,1,0,0,1,"Finding the intersection, GLF",2
977926,1302450,230hzMTB8t_a,"Unit INEQUALITY-SYSTEMS-SOLVING, Section INEQUALITY-SYSTEMS-SOLVING-1",G2X+5YGE19&-3X+2YLT0,1,Intersection 1 X,32:41.0,32:49.0,32:56.0,32:56.0,15,,15,0,1,0,1,"Finding the intersection, GLF",3
977983,1302507,230hzMTB8t_a,"Unit INEQUALITY-SYSTEMS-SOLVING, Section INEQUALITY-SYSTEMS-SOLVING-1",G3X-YLT5&2X+YLT15,1,Intersection 1 X,15:34.0,15:39.0,15:39.0,15:39.0,5,5,,1,0,0,1,"Finding the intersection, GLF",4
978037,1302561,230hzMTB8t_a,"Unit INEQUALITY-SYSTEMS-SOLVING, Section INEQUALITY-SYSTEMS-SOLVING-1",GXGT100&YGT50,1,Intersection 1 X,29:29.0,29:32.0,,33:16.0,88,,88,0,0,2,0,"Finding the intersection, GLF",5
980335,1306025,230J1b5ZjX_a,"Unit INEQUALITY-SYSTEMS-SOLVING, Section INEQUALITY-SYSTEMS-SOLVING-1",G2X+3YLE12&2X-YGT4,1,Intersection 1 X,33:20.0,33:25.0,33:25.0,33:25.0,5,5,,1,0,0,1,"Finding the intersection, GLF",1
980386,1306076,230J1b5ZjX_a,"Unit INEQUALITY-SYSTEMS-SOLVING, Section INEQUALITY-SYSTEMS-SOLVING-1",G3X-5YGT-29&2X-10YLE-42,1,Intersection 1 X,16:53.0,17:03.0,17:03.0,17:03.0,10,10,,1,0,0,1,"Finding the intersection, GLF",2
980559,1306249,230J1b5ZjX_a,"Unit INEQUALITY-SYSTEMS-SOLVING, Section INEQUALITY-SYSTEMS-SOLVING-1",G2X+5YGE19&-3X+2YLT0,1,Intersection 1 X,12:06.0,12:14.0,12:14.0,12:14.0,8,8,,1,0,0,1,"Finding the intersection, GLF",3
980648,1306338,230J1b5ZjX_a,"Unit INEQUALITY-SYSTEMS-SOLVING, Section INEQUALITY-SYSTEMS-SOLVING-1",G3X-YLT5&2X+YLT15,1,Intersection 1 X,56:39.0,56:46.0,56:46.0,56:46.0,7,7,,1,0,0,1,"Finding the intersection, GLF",4
980710,1306400,230J1b5ZjX_a,"Unit INEQUALITY-SYSTEMS-SOLVING, Section INEQUALITY-SYSTEMS-SOLVING-1",GXGT100&YGT50,1,Intersection 1 X,07:19.0,07:27.0,07:27.0,07:27.0,8,8,,1,0,0,1,"Finding the intersection, GLF",5
980850,1306540,230J1b5ZjX_a,"Unit INEQUALITY-SYSTEMS-SOLVING, Section INEQUALITY-SYSTEMS-SOLVING-1",GXGE0&YGE0,1,Intersection 1 X,08:03.0,08:10.0,08:10.0,08:10.0,3.5,3.5,,1,0,0,1,"Finding the intersection, GLF",6
980879,1306569,230J1b5ZjX_a,"Unit INEQUALITY-SYSTEMS-SOLVING, Section INEQUALITY-SYSTEMS-SOLVING-1",GXGE100&YLE375,1,Intersection 1 X,11:47.0,11:54.0,11:54.0,11:54.0,7,7,,1,0,0,1,"Finding the intersection, GLF",7
980914,1306604,230J1b5ZjX_a,"Unit INEQUALITY-SYSTEMS-SOLVING, Section INEQUALITY-SYSTEMS-SOLVING-1",G-X+6YLE-13&-X-2YGE-5,1,Intersection 1 X,37:44.0,37:48.0,37:48.0,37:48.0,4,4,,1,0,0,1,"Finding the intersection, GLF",8
981479,1307218,230jc0wqMP_a,"Unit INEQUALITY-SYSTEMS-SOLVING, Section INEQUALITY-SYSTEMS-SOLVING-1",G2X+3YLE12&2X-YGT4,1,Intersection 1 X,09:35.0,09:44.0,09:44.0,09:44.0,9,9,,1,0,0,1,"Finding the intersection, GLF",1
981502,1307241,230jc0wqMP_a,"Unit INEQUALITY-SYSTEMS-SOLVING, Section INEQUALITY-SYSTEMS-SOLVING-1",G3X-5YGT-29&2X-10YLE-42,1,Intersection 1 X,17:27.0,17:59.0,17:59.0,17:59.0,32,32,,1,0,0,1,"Finding the intersection, GLF",2
981623,1307362,230jc0wqMP_a,"Unit INEQUALITY-SYSTEMS-SOLVING, Section INEQUALITY-SYSTEMS-SOLVING-1",G2X+5YGE19&-3X+2YLT0,1,Intersection 1 X,40:36.0,40:45.0,40:45.0,40:45.0,9,9,,1,0,0,1,"Finding the intersection, GLF",3
982580,1308750,230JX4ja8w_a,"Unit INEQUALITY-SYSTEMS-SOLVING, Section INEQUALITY-SYSTEMS-SOLVING-1",G2X+3YLE12&2X-YGT4,1,Intersection 1 X,07:37.0,07:41.0,07:47.0,07:47.0,7,,7,0,1,0,1,"Finding the intersection, GLF",1
982603,1308773,230JX4ja8w_a,"Unit INEQUALITY-SYSTEMS-SOLVING, Section INEQUALITY-SYSTEMS-SOLVING-1",G3X-5YGT-29&2X-10YLE-42,1,Intersection 1 X,12:34.0,12:36.0,13:02.0,13:02.0,11,,11,0,1,0,1,"Finding the intersection, GLF",2
982731,1308901,230JX4ja8w_a,"Unit INEQUALITY-SYSTEMS-SOLVING, Section INEQUALITY-SYSTEMS-SOLVING-1",G2X+5YGE19&-3X+2YLT0,1,Intersection 1 X,17:54.0,18:03.0,18:08.0,18:08.0,10,,10,0,1,0,1,"Finding the intersection, GLF",3
982828,1308998,230JX4ja8w_a,"Unit INEQUALITY-SYSTEMS-SOLVING, Section INEQUALITY-SYSTEMS-SOLVING-1",G3X-YLT5&2X+YLT15,2,Intersection 1 X,53:47.0,53:56.0,54:00.0,54:00.0,13,,13,0,1,0,1,"Finding the intersection, GLF",4
982874,1309044,230JX4ja8w_a,"Unit INEQUALITY-SYSTEMS-SOLVING, Section INEQUALITY-SYSTEMS-SOLVING-1",GX+4YLT42&-5X+6YGE50,1,Intersection 1 X,09:30.0,09:42.0,09:42.0,09:42.0,12,12,,1,0,0,1,"Finding the intersection, GLF",5
985064,1311928,230kbSDgQ3_a,"Unit INEQUALITY-SYSTEMS-SOLVING, Section INEQUALITY-SYSTEMS-SOLVING-1",G2X+3YLE12&2X-YGT4,1,Intersection 1 X,20:36.0,20:41.0,20:46.0,20:46.0,10,,10,0,1,0,1,"Finding the intersection, GLF",1
985086,1311950,230kbSDgQ3_a,"Unit INEQUALITY-SYSTEMS-SOLVING, Section INEQUALITY-SYSTEMS-SOLVING-1",G3X-5YGT-29&2X-10YLE-42,1,Intersection 1 X,27:56.0,28:03.0,28:03.0,28:03.0,7,7,,1,0,0,1,"Finding the intersection, GLF",2
985196,1312060,230kbSDgQ3_a,"Unit INEQUALITY-SYSTEMS-SOLVING, Section INEQUALITY-SYSTEMS-SOLVING-1",G2X+5YGE19&-3X+2YLT0,2,Intersection 1 X,32:59.0,33:01.0,33:01.0,33:01.0,2,2,,1,0,0,1,"Finding the intersection, GLF",3
986372,1313743,230KZfQk0y_a,"Unit INEQUALITY-SYSTEMS-SOLVING, Section INEQUALITY-SYSTEMS-SOLVING-1",G2X+3YLE12&2X-YGT4,2,Intersection 1 X,06:10.0,06:19.0,08:35.0,08:35.0,62,,62,0,0,2,1,"Finding the intersection, GLF",1
986419,1313790,230KZfQk0y_a,"Unit INEQUALITY-SYSTEMS-SOLVING, Section INEQUALITY-SYSTEMS-SOLVING-1",G3X-5YGT-29&2X-10YLE-42,1,Intersection 1 X,18:02.0,18:11.0,18:22.0,18:22.0,19,,19,0,1,0,1,"Finding the intersection, GLF",2
986654,1314025,230KZfQk0y_a,"Unit INEQUALITY-SYSTEMS-SOLVING, Section INEQUALITY-SYSTEMS-SOLVING-1",G2X+5YGE19&-3X+2YLT0,1,Intersection 1 X,24:11.0,24:25.0,24:25.0,24:25.0,14,14,,1,0,0,1,"Finding the intersection, GLF",3
986703,1314074,230KZfQk0y_a,"Unit INEQUALITY-SYSTEMS-SOLVING, Section INEQUALITY-SYSTEMS-SOLVING-1",G-X+6YLE-13&-X-2YGE-5,1,Intersection 1 X,34:14.0,34:26.0,34:34.0,34:34.0,18,,18,0,1,0,1,"Finding the intersection, GLF",4
986752,1314123,230KZfQk0y_a,"Unit INEQUALITY-SYSTEMS-SOLVING, Section INEQUALITY-SYSTEMS-SOLVING-1",GXGE0&YGE0,1,Intersection 1 X,06:34.0,06:37.0,,06:37.0,3,,3,0,0,1,0,"Finding the intersection, GLF",5
986783,1314154,230KZfQk0y_a,"Unit INEQUALITY-SYSTEMS-SOLVING, Section INEQUALITY-SYSTEMS-SOLVING-1",GXGT100&YGT50,1,Intersection 1 X,20:23.0,20:34.0,,20:34.0,11,,11,0,0,1,0,"Finding the intersection, GLF",6
986911,1314282,230KZfQk0y_a,"Unit INEQUALITY-SYSTEMS-SOLVING, Section INEQUALITY-SYSTEMS-SOLVING-1",GX+4YLT42&-5X+6YGE50,1,Intersection 1 X,13:20.0,13:25.0,13:31.0,13:31.0,9,,9,0,1,0,1,"Finding the intersection, GLF",7
990150,1318278,230NIBA0Dq_a,"Unit INEQUALITY-SYSTEMS-SOLVING, Section INEQUALITY-SYSTEMS-SOLVING-1",G2X+3YLE12&2X-YGT4,1,Intersection 1 X,19:19.0,19:21.0,19:21.0,19:21.0,2,2,,1,0,0,1,"Finding the intersection, GLF",1
990174,1318302,230NIBA0Dq_a,"Unit INEQUALITY-SYSTEMS-SOLVING, Section INEQUALITY-SYSTEMS-SOLVING-1",G3X-5YGT-29&2X-10YLE-42,1,Intersection 1 X,23:10.0,23:18.0,23:18.0,23:18.0,8,8,,1,0,0,1,"Finding the intersection, GLF",2
993203,1322487,230P2rW3yn_a,"Unit INEQUALITY-SYSTEMS-SOLVING, Section INEQUALITY-SYSTEMS-SOLVING-1",G2X+3YLE12&2X-YGT4,1,Intersection 1 X,33:04.0,33:12.0,33:12.0,33:12.0,4,4,,1,0,0,1,"Finding the intersection, GLF",1
993229,1322513,230P2rW3yn_a,"Unit INEQUALITY-SYSTEMS-SOLVING, Section INEQUALITY-SYSTEMS-SOLVING-1",G3X-5YGT-29&2X-10YLE-42,1,Intersection 1 X,25:41.0,25:49.0,25:49.0,25:49.0,8,8,,1,0,0,1,"Finding the intersection, GLF",2
994680,1324287,230rlAi5Zw_a,"Unit INEQUALITY-SYSTEMS-SOLVING, Section INEQUALITY-SYSTEMS-SOLVING-1",G2X+3YLE12&2X-YGT4,1,Intersection 1 X,26:44.0,26:55.0,26:55.0,26:55.0,11,11,,1,0,0,1,"Finding the intersection, GLF",1
994700,1324307,230rlAi5Zw_a,"Unit INEQUALITY-SYSTEMS-SOLVING, Section INEQUALITY-SYSTEMS-SOLVING-1",G3X-5YGT-29&2X-10YLE-42,1,Intersection 1 X,35:13.0,35:28.0,35:39.0,35:39.0,26,,26,0,1,0,1,"Finding the intersection, GLF",2
996025,1325903,230tBgtvsW_a,"Unit INEQUALITY-SYSTEMS-SOLVING, Section INEQUALITY-SYSTEMS-SOLVING-1",G2X+3YLE12&2X-YGT4,1,Intersection 1 X,05:27.0,05:29.0,05:29.0,05:29.0,2,2,,1,0,0,1,"Finding the intersection, GLF",1
996054,1325932,230tBgtvsW_a,"Unit INEQUALITY-SYSTEMS-SOLVING, Section INEQUALITY-SYSTEMS-SOLVING-1",G3X-5YGT-29&2X-10YLE-42,1,Intersection 1 X,11:29.0,11:33.0,11:33.0,11:33.0,4,4,,1,0,0,1,"Finding the intersection, GLF",2
1000629,1332366,230XGzqSto_a,"Unit INEQUALITY-SYSTEMS-SOLVING, Section INEQUALITY-SYSTEMS-SOLVING-1",G2X+3YLE12&2X-YGT4,1,Intersection 1 X,02:38.0,02:41.0,02:41.0,02:41.0,3,3,,1,0,0,1,"Finding the intersection, GLF",1
1000650,1332387,230XGzqSto_a,"Unit INEQUALITY-SYSTEMS-SOLVING, Section INEQUALITY-SYSTEMS-SOLVING-1",G3X-5YGT-29&2X-10YLE-42,1,Intersection 1 X,05:56.0,06:03.0,06:03.0,06:03.0,7,7,,1,0,0,1,"Finding the intersection, GLF",2
1004615,1337552,230Y6CWb3d_a,"Unit INEQUALITY-SYSTEMS-SOLVING, Section INEQUALITY-SYSTEMS-SOLVING-1",G2X+3YLE12&2X-YGT4,1,Intersection 1 X,25:54.0,25:55.0,28:11.0,28:11.0,26,,26,0,1,4,1,"Finding the intersection, GLF",1
1004655,1337592,230Y6CWb3d_a,"Unit INEQUALITY-SYSTEMS-SOLVING, Section INEQUALITY-SYSTEMS-SOLVING-1",G3X-5YGT-29&2X-10YLE-42,1,Intersection 1 X,32:44.0,32:52.0,33:15.0,33:15.0,31,,31,0,5,2,1,"Finding the intersection, GLF",2
1004859,1337796,230Y6CWb3d_a,"Unit INEQUALITY-SYSTEMS-SOLVING, Section INEQUALITY-SYSTEMS-SOLVING-1",G2X+5YGE19&-3X+2YLT0,2,Intersection 1 X,14:56.0,14:59.0,16:29.0,16:29.0,31,,31,0,1,3,1,"Finding the intersection, GLF",3
1004949,1337886,230Y6CWb3d_a,"Unit INEQUALITY-SYSTEMS-SOLVING, Section INEQUALITY-SYSTEMS-SOLVING-1",GXGT100&YGT50,1,Intersection 1 X,11:28.0,11:36.0,,16:00.0,80,,80,0,0,5,0,"Finding the intersection, GLF",4
1004999,1337936,230Y6CWb3d_a,"Unit INEQUALITY-SYSTEMS-SOLVING, Section INEQUALITY-SYSTEMS-SOLVING-1",G3X-YLT5&2X+YLT15,1,Intersection 1 X,14:46.0,14:50.0,14:50.0,14:50.0,4,4,,1,0,0,1,"Finding the intersection, GLF",5
1008231,1343081,236wm0wnm,"Unit LINEAR-SYSTEMS-SOLVING, Section LINEAR-SYSTEMS-SOLVING-1",GX+4Y=42&-5X+6Y=50,1,Intersection 1 X,45:42.0,45:47.0,45:47.0,45:47.0,5,5,,1,0,0,1,"Finding the intersection, GLF",1
1008410,1343287,236wm0wnm,"Unit INEQUALITY-SYSTEMS-SOLVING, Section INEQUALITY-SYSTEMS-SOLVING-1",G2X+3YLE12&2X-YGT4,1,Intersection 1 X,34:06.0,34:10.0,34:10.0,34:10.0,4,4,,1,0,0,1,"Finding the intersection, GLF",2
1047649,1395512,236z60ytg,"Unit LINEAR-SYSTEMS-SOLVING, Section LINEAR-SYSTEMS-SOLVING-1",GX+4Y=42&-5X+6Y=50,1,Intersection 1 X,51:12.0,51:18.0,51:18.0,51:18.0,6,6,,1,0,0,1,"Finding the intersection, GLF",1
1446298,1929649,2480wql4f,"Unit LINEAR-SYSTEMS-SOLVING, Section LINEAR-SYSTEMS-SOLVING-1",GX+4Y=42&-5X+6Y=50,1,Intersection 1 X,41:38.0,41:49.0,41:49.0,41:49.0,11,11,,1,0,0,1,"Finding the intersection, GLF",1
1446522,1929873,2480wql4f,"Unit LINEAR-SYSTEMS-SOLVING, Section LINEAR-SYSTEMS-SOLVING-2",G8X-7Y=51&10X+Y=-15,1,Intersection 1 X,57:57.0,58:11.0,07:53.0,07:53.0,85,,85,0,6,4,1,"Finding the intersection, GLF",2
1446586,1929937,2480wql4f,"Unit LINEAR-SYSTEMS-SOLVING, Section LINEAR-SYSTEMS-SOLVING-2",G5X+3Y=4.7&2X+6Y=6.2,1,Intersection 1 X,42:59.0,43:21.0,50:13.0,50:13.0,80,,80,0,8,2,1,"Finding the intersection, GLF",3
1446612,1929963,2480wql4f,"Unit LINEAR-SYSTEMS-SOLVING, Section LINEAR-SYSTEMS-SOLVING-2",G2X+3Y=12&2X-Y=4,2,Intersection 1 X,25:57.0,25:59.0,25:59.0,25:59.0,2,2,,1,0,0,1,"Finding the intersection, GLF",4
1452568,1937593,2483hkq13,"Unit LINEAR-SYSTEMS-SOLVING, Section LINEAR-SYSTEMS-SOLVING-1",GX+4Y=42&-5X+6Y=50,1,Intersection 1 X,32:44.0,32:47.0,32:47.0,32:47.0,3,3,,1,0,0,1,"Finding the intersection, GLF",1
